         525236 function calls (513044 primitive calls) in 6.050 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:3114(__contains__)
        1    0.000    0.000    0.000    0.000 __init__.py:313(_CountryTimezoneDict)
        1    0.000    0.000    0.000    0.000 __init__.py:3132(parse)
       14    0.000    0.000    0.000    0.000 __init__.py:3138(_always_object)
       14    0.000    0.000    0.000    0.000 __init__.py:3148(_find_adapter)
        1    0.000    0.000    0.000    0.000 __init__.py:319(CDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:32(PerformanceWarning)
        1    0.000    0.000    0.135    0.135 __init__.py:32(__enter__)
        1    0.000    0.000    0.554    0.554 __init__.py:322(_sanity_check)
        2    0.000    0.000    0.384    0.192 __init__.py:3220(_call_aside)
        1    0.000    0.000    0.000    0.000 __init__.py:3225(_initialize)
       14    0.000    0.000    0.000    0.000 __init__.py:3230(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:3237(PkgResourcesDeprecationWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:324(EntryPoints)
        1    0.000    0.000    0.384    0.384 __init__.py:3246(_initialize_master_working_set)
        1    0.000    0.000    0.000    0.000 __init__.py:326(UnknownExtra)
       46    0.000    0.000    0.016    0.000 __init__.py:3272(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:332(Version)
       10    0.000    0.000    0.000    0.000 __init__.py:336(__init__)
        5    0.000    0.000    0.001    0.000 __init__.py:340(__init__)
        4    0.000    0.000    0.000    0.000 __init__.py:340(register_loader_type)
       32    0.001    0.000    0.004    0.000 __init__.py:345(namedtuple)
       36    0.000    0.000    0.000    0.000 __init__.py:346(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:350(get_provider)
        3    0.000    0.000    0.000    0.000 __init__.py:36(__deprecate_private_class)
        2    0.000    0.000    0.000    0.000 __init__.py:37(FoldedCase)
        1    0.000    0.000    0.000    0.000 __init__.py:372(_CountryNameDict)
        5    0.000    0.000    0.000    0.000 __init__.py:376(_FuncPtr)
        1    0.000    0.000    0.000    0.000 __init__.py:38(UnsupportedFunctionCall)
