,gid_id,mean_cell_count_baseline,cost_usd_baseline
3755,NOR.9_1,154.0,1537469.0
3756,NPL.1_1,9.0,273332.0
3757,NPL.2_1,11.0,350831.0
3758,NPL.3_1,1.5,33333.5
3759,NPL.4_1,9.5,279165.5
3760,NPL.5_1,22.0,592498.0
3761,NZL.12_1,138.0,1283292.0
3762,NZL.14_1,35.0,295822.0
3763,NZL.15_1,90.0,749970.0
3764,NZL.16_1,16.0,208334.0
3765,NZL.17_1,106.0,1245827.0
3766,NZL.18_1,60.0,750000.0
3767,NZL.19_1,31.0,510842.0
3768,NZL.1_1,1547.0,19299997.0
3769,NZL.2_1,177.0,2187498.0
3770,NZL.3_1,526.0,4689848.0
3771,NZL.5_1,10.0,91664.0
3772,NZL.6_1,91.0,758303.0
3773,NZL.7_1,41.0,393323.0
3774,NZL.8_1,33.0,274989.0
3775,NZL.9_1,3.0,24999.0
3776,OMN.10_1,4.0,37499.0
3777,OMN.11_1,772.0,6433076.0
3778,OMN.1_1,12.0,99996.0
3779,OMN.2_1,535.0,4458155.0
3780,OMN.3_1,435.0,3624855.0
3781,OMN.5_1,6.0,49998.0
3782,OMN.6_1,7.0,58331.0
3783,OMN.7_1,7.5,62497.5
3784,OMN.8_1,66.0,549978.0
3785,OMN.9_1,26.5,324999.5
3786,PAK.1_1,41.5,1344155.5
3787,PAK.2_1,75.5,1105006.5
3788,PAK.3_1,1.0,26667.0
3789,PAK.4_1,52.0,1470006.0
3790,PAK.5_1,174.0,4689162.0
3791,PAK.6_1,13.0,271669.0
3792,PAK.7_1,1030.0,23993381.0
3793,PAK.8_1,352.0,7247533.0
3794,PAN.10_1,3.0,24999.0
3795,PAN.11_1,7.5,173333.5
3796,PAN.12_1,238.5,7073293.5
3797,PAN.13_1,1.0,8333.0
3798,PAN.1_1,22.0,199994.0
3799,PAN.2_1,289.0,2408237.0
3800,PAN.3_1,13.0,213336.0
3801,PAN.4_1,65.0,1083355.0
3802,PAN.5_1,2.0,31667.0
3803,PAN.7_1,12.0,99996.0
3804,PAN.9_1,4.0,33332.0
3805,PER.10_1,242.0,4962564.0
3806,PER.11_1,61.5,591652.5
3807,PER.12_1,44.5,1017504.5
3808,PER.13_1,156.0,1660810.0
3809,PER.14_1,337.0,3883307.0
3810,PER.15_1,4604.0,38365132.0
3811,PER.16_1,252.0,2099916.0
3812,PER.17_1,165.0,5054965.0
3813,PER.18_1,10.0,319164.0
3814,PER.19_1,4.0,37499.0
3815,PER.1_1,23.0,408339.0
3816,PER.20_1,7.0,167502.0
3817,PER.21_1,162.5,3474210.5
3818,PER.22_1,105.0,1438339.0
3819,PER.23_1,30.0,838331.0
3820,PER.24_1,3.0,33333.0
3821,PER.25_1,42.0,349986.0
3822,PER.26_1,16.0,393334.0
3823,PER.2_1,136.0,1791666.0
3824,PER.3_1,4.0,58334.0
3825,PER.4_1,121.0,1982534.0
3826,PER.5_1,1.0,27500.0
3827,PER.6_1,7.0,131667.0
3828,PER.7_1,181.0,1508273.0
3829,PER.8_1,54.0,965834.0
3830,PER.9_1,12.0,229170.0
3831,PHL.10_1,4.0,86668.0
3832,PHL.15_1,64.0,1740833.0
3833,PHL.16_1,24.0,660000.0
3834,PHL.17_1,298.0,5491738.0
3835,PHL.18_1,56.5,1491660.5
3836,PHL.19_1,6.5,160832.5
3837,PHL.1_1,7.0,151669.0
3838,PHL.20_1,67.0,1678336.0
3839,PHL.22_1,26.5,530840.5
3840,PHL.24_1,1.5,20833.5
3841,PHL.25_1,418.5,8400111.5
3842,PHL.27_1,48.5,1260832.5
3843,PHL.28_1,190.0,4789175.0
3844,PHL.2_1,111.5,2889171.5
3845,PHL.31_1,10.0,237501.0
3846,PHL.34_1,39.5,795011.5
3847,PHL.35_1,18.0,360006.0
3848,PHL.36_1,242.5,4625911.5
