iso3,hazard,climate_scenario,model,year,return_period,percentile,min_depth,mean_depth,max_depth,flooded_area_km2,continent
ARM,inuncoast,rcp8p5,wtsub,2030,rp1000,0,-,NA,-,NA,Asia
ARM,inuncoast,rcp8p5,wtsub,2050,rp0100,0,-,NA,-,NA,Asia
ARM,inuncoast,rcp8p5,wtsub,2050,rp0250,0,-,NA,-,NA,Asia
ARM,inuncoast,rcp8p5,wtsub,2050,rp0500,0,-,NA,-,NA,Asia
ARM,inuncoast,rcp8p5,wtsub,2050,rp1000,0,-,NA,-,NA,Asia
ARM,inuncoast,rcp8p5,wtsub,2080,rp0100,0,-,NA,-,NA,Asia
ARM,inuncoast,rcp8p5,wtsub,2080,rp0250,0,-,NA,-,NA,Asia
ARM,inuncoast,rcp8p5,wtsub,2080,rp0500,0,-,NA,-,NA,Asia
ARM,inuncoast,rcp8p5,wtsub,2080,rp1000,0,-,NA,-,NA,Asia
AUS,inuncoast,historical,wtsub,hist,rp0100,0,0.0,0.8283570165579034,7.58984,0.021,Oceania
AUS,inuncoast,historical,wtsub,hist,rp0250,0,0.0,0.8665703434773121,7.775263,0.024,Oceania
AUS,inuncoast,historical,wtsub,hist,rp0500,0,0.0,0.8692710854839621,7.9152713,0.026,Oceania
AUS,inuncoast,historical,wtsub,hist,rp1000,0,0.0,0.8938363583627337,8.05518,0.028,Oceania
AUS,inuncoast,rcp4p5,wtsub,2030,rp0100,0,0.0,0.8719146211087296,7.7747397,0.024,Oceania
AUS,inuncoast,rcp4p5,wtsub,2030,rp0250,0,0.0,0.908042047573582,7.9601626,0.026,Oceania
AUS,inuncoast,rcp4p5,wtsub,2030,rp0500,0,0.0,0.9417971087777874,8.100172,0.029,Oceania
AUS,inuncoast,rcp4p5,wtsub,2030,rp1000,0,0.0,0.9599206181038586,8.24008,0.031,Oceania
AUS,inuncoast,rcp4p5,wtsub,2050,rp0100,0,0.0,0.9323332869633429,7.90974,0.026,Oceania
AUS,inuncoast,rcp4p5,wtsub,2050,rp0250,0,0.0,0.9800695277269577,8.095163,0.028,Oceania
AUS,inuncoast,rcp4p5,wtsub,2050,rp0500,0,0.0,1.0074375681356298,8.235172,0.031,Oceania
AUS,inuncoast,rcp4p5,wtsub,2050,rp1000,0,0.0,1.0349687929005162,8.37508,0.033,Oceania
AUS,inuncoast,rcp4p5,wtsub,2080,rp0100,0,0.0,1.0603128646136764,8.21554,0.031,Oceania
AUS,inuncoast,rcp4p5,wtsub,2080,rp0250,0,0.0,1.0839263729886905,8.400963,0.033,Oceania
AUS,inuncoast,rcp4p5,wtsub,2080,rp0500,0,0.0,1.1167329014239848,8.540972,0.035,Oceania
AUS,inuncoast,rcp4p5,wtsub,2080,rp1000,0,0.0,1.1177694093642754,8.68088,0.037,Oceania
AUS,inuncoast,rcp8p5,wtsub,2030,rp0100,0,0.0,0.8719858370766822,7.7740397,0.024,Oceania
